Date,Production,,,,,,,,
2020-12,843,,,,,,,,
2020-11,797,,,,,,,,
2020-10,827,,,,,,,,
2020-09,817,,,,,,13,,75
2020-08,858,,,,,,,,
2020-07,896,,,,,,,,
2020-06,937,,,,,,,,
2020-05,966,,,,,,,,
2020-04,903,,,,,,,,
2020-03,892,,,,,,,,
2020-02,782,,,,,,,,
2020-01,834,,,,,,,,
2019-12,805,,,,,,,,
2019-11,766,,,,,,,,
2019-10,810,,,,,,,,
2019-09,809,,,,,,,,
2019-08,855,,,,,,,,
2019-07,894,,,,,,,,
2019-06,935,,,,,,,,
2019-05,961,,,,,,,,
2019-04,900,,,,,,,,
2019-03,890,,,,,,,,
2019-02,799,,,,,,,,
2019-01,826,,,,,,,,
2018-12,813,,,,,,,,
2018-11,773,,,,,,,,
2018-10,812,,,,,,,,
2018-09,815,,,,,,,,
2018-08,867,,,,,,,,
2018-07,908,,,,,,,,
2018-06,947,,,,,,,,
2018-05,969,,,,,,,,
2018-04,902,,,,,,,,
2018-03,889,,,,,,,,
2018-02,778,,,,,,,,
2018-01,828,,,,,,,,
2017-12,802,,,,,,,,
2017-11,760,,,,,,,,
2017-10,791,,,,,,,,
2017-09,784,,,,,,,,
2017-08,837,,,,,,,,
2017-07,881,,,,,,,,
2017-06,924,,,,,,,,
2017-05,957,,,,,,,,
2017-04,898,,,,,,,,
2017-03,883,,,,,,,,
2017-02,773,,,,,,,,
2017-01,821,,,,,,,,
2016-12,800,,,,,,,,
2016-11,763,,,,,,,,
2016-10,800,,,,,,,,
2016-09,790,,,,,,,,
2016-08,834,,,,,,,,
2016-07,869,,,,,,,,
2016-06,913,,,,,,,,
2016-05,942,,,,,,,,
2016-04,878,,,,,,,,
2016-03,860,,,,,,,,
2016-02,756,,,,,,,,
2016-01,804,,,,,,,,
2015-12,751,,,,,,,,
2015-11,711,,,,,,,,
2015-10,747,,,,,,,,
2015-09,740,,,,,,,,
2015-08,783,,,,,,,,
2015-07,819,,,,,,,,
2015-06,859,,,,,,,,
2015-05,886,,,,,,,,
2015-04,824,,,,,,,,
2015-03,807,,,,,,,,
2015-02,707,,,,,,,,
2015-01,750,,,,,,,,
2014-12,734,,,,,,,,
2014-11,690,,,,,,,,
2014-10,723,,,,,,,,
2014-09,725,,,,,,,,
2014-08,764,,,,,,,,
2014-07,801,,,,,,,,
2014-06,845,,,,,,,,
2014-05,871,,,,,,,,
2014-04,805,,,,,,,,
2014-03,785,,,,,,,,
2014-02,690,,,,,,,,
2014-01,734,,,,,,,,
2013-12,711,,,,,,,,
2013-11,677,,,,,,,,
2013-10,706,,,,,,,,
2013-09,701,,,,,,,,
2013-08,740,,,,,,,,
2013-07,783,,,,,,,,
2013-06,826,,,,,,,,
2013-05,858,,,,,,,,
2013-04,796,,,,,,,,
2013-03,775,,,,,,,,
2013-02,696,,,,,,,,
2013-01,717,,,,,,,,
2012-12,698,,,,,,,,
2012-11,660,,,,,,,,
2012-10,687,,,,,,,,
2012-09,681,,,,,,,,
2012-08,722,,,,,,,,
2012-07,767,,,,,,,,
2012-06,817,,,,,,,,
2012-05,837,,,,,,,,
2012-04,784,,,,,,,,
2012-03,762,,,,,,,,
2012-02,667,,,,,,,,
2012-01,713,,,,,,,,
2011-12,688,,,,,,,,
2011-11,645,,,,,,,,
2011-10,667,,,,,,,,
2011-09,661,,,,,,,,
2011-08,697,,,,,,,,
2011-07,735,,,,,,,,
2011-06,798,,,,,,,,
2011-05,811,,,,,,,,
2011-04,755,,,,,,,,
2011-03,736,,,,,,,,
2011-02,635,,,,,,,,
2011-01,677,,,,,,,,
2010-12,635,,,,,,,,
2010-11,602,,,,,,,,
2010-10,621,,,,,,,,
2010-09,615,,,,,,,,
2010-08,653,,,,,,,,
2010-07,702,,,,,,,,
2010-06,756,,,,,,,,
2010-05,782,,,,,,,,
2010-04,722,,,,,,,,
2010-03,709,,,,,,,,
2010-02,622,,,,,,,,
2010-01,658,,,,,,,,
2009-12,634,,,,,,,,
2009-11,594,,,,,,,,
2009-10,611,,,,,,,,
2009-09,604,,,,,,,,
2009-08,639,,,,,,,,
2009-07,678,,,,,,,,
2009-06,736,,,,,,,,
2009-05,770,,,,,,,,
2009-04,705,,,,,,,,
2009-03,688,,,,,,,,
2009-02,618,,,,,,,,
2009-01,628,,,,,,,,
2008-12,598,,,,,,,,
2008-11,565,,,,,,,,
2008-10,587,,,,,,,,
2008-09,583,,,,,,,,
2008-08,617,,,,,,,,
2008-07,660,,,,,,,,
2008-06,716,,,,,,,,
2008-05,742,,,,,,,,
2008-04,673,,,,,,,,
2008-03,653,,,,,,,,
2008-02,566,,,,,,,,
2008-01,600,,,,,,,,
2007-12,582,,,,,,,,
2007-11,553,,,,,,,,
2007-10,577,,,,,,,,
2007-09,568,,,,,,,,
2007-08,599,,,,,,,,
2007-07,640,,,,,,,,
2007-06,697,,,,,,,,
2007-05,727,,,,,,,,
2007-04,656,,,,,,,,
2007-03,640,,,,,,,,
2007-02,561,,,,,,,,
2007-01,589,,,,,,,,
